f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25377226,-0.2871649,-0.06673955,-0.62734395,-0.49930662,-0.18124685,-0.9873035,-0.5011045,-0.28455973,-1.23442,-0.41319478,-0.42215693,-0.68447286,-0.8996675,-0.39216703,-1.190124,-1.1601031,-0.57634306,-1.5299451,-1.1661406,-0.68641067,-1.7840945,-1.1269106,-0.75270796,-0.53505564,-0.72544676,-0.43294623,-1.2208809,-0.57490337,-0.6038304,-1.5428375,-0.29948115,-0.6668616,-1.7291727,-0.087875724,-0.71179163,-0.44429117,-0.4415277,-0.45638436,-1.0685266,-0.08248114,-0.60326123,-1.1952847,0.2028787,-0.61026156,-1.199001,0.33362395,-0.6079842,-0.38335863,-0.12496842,-0.47604024,-0.8649763,0.14305466,-0.6046832,-0.9655203,0.34487617,-0.59013027,-0.9657965,0.4469046,-0.5615666,A
0.0,0.0,0.0,0.27687994,-0.15613732,0.028358227,0.44088373,-0.48537707,0.0774662,0.53546005,-0.6918196,0.103862494,0.5987213,-0.80046237,0.12702341,0.32801828,-0.94750035,0.13771941,0.38856658,-1.2465681,0.11036397,0.44972283,-1.4215323,0.06730058,0.5141738,-1.5665423,0.026251655,0.2429291,-0.9670438,0.07623399,0.3153907,-1.299859,0.037666764,0.40671805,-1.4903038,-0.018224213,0.5012248,-1.652556,-0.061930157,0.15079173,-0.9297991,-0.00011344017,0.22329043,-1.2719214,-0.059735946,0.31703073,-1.4449869,-0.11513967,0.41837716,-1.5970954,-0.15234335,0.048333943,-0.8438248,-0.078160845,0.099864855,-1.119731,-0.14879945,0.17995435,-1.276203,-0.19493644,0.27621397,-1.4055555,-0.22813363,0.0,0.0,0.0,-0.42974776,0.05659955,-0.008102193,-0.68196934,-0.07410971,-0.042215604,-0.8833078,-0.16375689,-0.092139386,-1.0355263,-0.23426801,-0.15581036,-0.68158895,-0.7669082,-0.03392049,-0.9983645,-0.8928783,-0.11218553,-1.2136575,-0.8986826,-0.1851944,-1.3814199,-0.8866365,-0.23623748,-0.5916159,-0.801531,-0.08682607,-1.0143579,-0.5777477,-0.1687054,-1.1583619,-0.3022055,-0.22608712,-1.1988175,-0.11265861,-0.2596727,-0.50353837,-0.70431554,-0.14149715,-0.91405547,-0.3452965,-0.22394887,-0.9353637,-0.04282521,-0.23287626,-0.8777017,0.12653805,-0.22778618,-0.43726486,-0.5234904,-0.20014973,-0.74166864,-0.23539001,-0.2709133,-0.72177154,-0.035761263,-0.2635132,-0.62492996,0.065933704,-0.24148035,A
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40066394,0.04503163,-0.004999713,-0.6554579,-0.086104244,-0.034327395,-0.856475,-0.18293545,-0.08004184,-1.003163,-0.27165398,-0.14077516,-0.63777643,-0.7921548,-0.015581781,-0.9560275,-0.90711683,-0.08033406,-1.155777,-0.92283636,-0.14714079,-1.3107622,-0.93235046,-0.19479287,-0.5415175,-0.8379267,-0.06810054,-0.96381253,-0.64258283,-0.13732013,-1.1187114,-0.36034268,-0.19138919,-1.1699191,-0.16423595,-0.22155158,-0.45270354,-0.7532696,-0.12204416,-0.86608297,-0.45157817,-0.20179306,-0.91811556,-0.12651451,-0.21416944,-0.87791467,0.066268094,-0.20823908,-0.38473248,-0.583718,-0.17894094,-0.69767463,-0.33611137,-0.25349295,-0.7240291,-0.09687188,-0.24833716,-0.6646286,0.06413599,-0.22422592,A
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41524693,0.013681709,-0.028934553,-0.6732684,-0.114754185,-0.082200505,-0.88109684,-0.18114716,-0.15086113,-1.0483987,-0.2195901,-0.2343023,-0.6364264,-0.799194,-0.052517485,-0.9463275,-0.9279073,-0.1422352,-1.143812,-0.9497084,-0.22489321,-1.3007329,-0.94961965,-0.28023568,-0.54280597,-0.8337609,-0.10101634,-0.9602649,-0.6423591,-0.19342697,-1.1045556,-0.36385354,-0.25772032,-1.1486367,-0.16320203,-0.2953987,-0.44992456,-0.7457968,-0.15382488,-0.85360694,-0.4621128,-0.2575374,-0.8959787,-0.13988471,-0.27599642,-0.85236603,0.059127487,-0.27178127,-0.37309918,-0.5803425,-0.2108884,-0.6834061,-0.36693823,-0.29857773,-0.71717095,-0.12897973,-0.29463455,-0.6722205,0.04034657,-0.2719386,A
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40167972,0.016401123,-0.03207227,-0.66149807,-0.09956377,-0.08811193,-0.8709651,-0.16395225,-0.15861236,-1.0382873,-0.19892053,-0.24333629,-0.6337192,-0.8010639,-0.05313598,-0.9398661,-0.9366644,-0.14462246,-1.1377065,-0.9606304,-0.23059192,-1.2945215,-0.9608828,-0.2886941,-0.53786397,-0.8370425,-0.1003099,-0.9472781,-0.64480877,-0.19371642,-1.0900577,-0.3574876,-0.25853762,-1.1338855,-0.15226462,-0.29646805,-0.4445962,-0.75079936,-0.15230833,-0.83354056,-0.47191083,-0.25322795,-0.8775423,-0.15094617,-0.26840717,-0.8384178,0.047871288,-0.26298276,-0.366813,-0.58542323,-0.20914033,-0.67138976,-0.36752495,-0.29051623,-0.70173013,-0.12445423,-0.2820783,-0.65244204,0.0430185,-0.2576507,A
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40319917,0.0012875928,-0.021463338,-0.66271937,-0.115893826,-0.07193005,-0.86372936,-0.15979594,-0.14162065,-1.0296053,-0.18895598,-0.22480787,-0.64799213,-0.79418117,-0.02537797,-0.94266915,-0.9209821,-0.120319426,-1.1390519,-0.9405875,-0.21161278,-1.2970507,-0.93289775,-0.2730354,-0.54862595,-0.83227223,-0.07957721,-0.945612,-0.64330727,-0.18213119,-1.0884695,-0.3633175,-0.2555266,-1.1310688,-0.16373265,-0.29706952,-0.44649068,-0.75103116,-0.14045003,-0.8308492,-0.4839322,-0.25208798,-0.8698273,-0.16528994,-0.27305222,-0.8236601,0.03374335,-0.2680205,-0.3564733,-0.59616786,-0.20519853,-0.6641575,-0.38916817,-0.29208523,-0.6975581,-0.15248814,-0.28548956,-0.6514074,0.008260361,-0.2615259,A
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39566648,-0.0012142496,-0.033083864,-0.64621544,-0.11574552,-0.092026025,-0.8472542,-0.16855171,-0.16833071,-1.0227151,-0.20281997,-0.2570741,-0.6408522,-0.79987216,-0.046199698,-0.92570555,-0.9471813,-0.1506463,-1.1179268,-0.9710108,-0.24668083,-1.2727367,-0.96569395,-0.31065115,-0.5384908,-0.8368691,-0.098375626,-0.92379016,-0.64899814,-0.20849548,-1.0596398,-0.36884925,-0.28205454,-1.0989212,-0.17567419,-0.32330185,-0.4378945,-0.75285566,-0.15779562,-0.80267555,-0.47423244,-0.2734727,-0.83528954,-0.15645826,-0.28925744,-0.79234684,0.040027447,-0.2807868,-0.35393885,-0.5906851,-0.22273815,-0.64509696,-0.3730103,-0.3104608,-0.6696243,-0.13470426,-0.30098078,-0.62069446,0.026776532,-0.27509707,A
0.0,0.0,0.0,0.32194147,-0.1250684,0.16678812,0.49947175,-0.42046228,0.26948878,0.5942474,-0.586117,0.31511596,0.6661629,-0.7034909,0.34712678,0.35967356,-0.91276467,0.30820554,0.3971334,-1.2666361,0.32869565,0.4843275,-1.4976312,0.31304914,0.57614785,-1.6775224,0.28185028,0.30452812,-0.93967223,0.15581648,0.36718932,-1.3644441,0.15564102,0.49478936,-1.6090461,0.10812713,0.6120364,-1.8025552,0.06369143,0.23009531,-0.92926836,-0.0072863875,0.30093825,-1.3594846,-0.053755686,0.42817095,-1.5797912,-0.10997252,0.54598826,-1.7665582,-0.15199928,0.1512965,-0.8673303,-0.16259922,0.21056153,-1.2338961,-0.23938368,0.31984305,-1.4150642,-0.29152113,0.43419492,-1.5558515,-0.33178115,0.0,0.0,0.0,-0.39564252,0.0039090607,-0.033627648,-0.6511259,-0.11545862,-0.09075604,-0.85527813,-0.18243442,-0.16344431,-1.0249444,-0.22250375,-0.24972901,-0.61469996,-0.8109199,-0.05381754,-0.91102964,-0.96293026,-0.15172791,-1.111895,-0.9874468,-0.24101022,-1.2703121,-0.9898093,-0.30126685,-0.51991516,-0.8479065,-0.103647836,-0.93305427,-0.6547081,-0.2086212,-1.0730135,-0.3517646,-0.27314085,-1.1112434,-0.14349492,-0.30700156,-0.43047982,-0.7618406,-0.15931855,-0.82100064,-0.4740607,-0.26666042,-0.8511209,-0.14884415,-0.2727583,-0.8009241,0.038484707,-0.25935566,-0.35944986,-0.59693974,-0.22069752,-0.6633781,-0.37225598,-0.3027544,-0.6799753,-0.13075554,-0.28720334,-0.6154462,0.018691935,-0.25737676,A
0.0,0.0,0.0,0.33703664,-0.11525128,0.17467125,0.5266394,-0.4146283,0.28079325,0.6212029,-0.58826804,0.3274404,0.6911972,-0.72412044,0.36016867,0.3907569,-0.89782715,0.32368457,0.42320248,-1.2626815,0.34941345,0.51513,-1.4908718,0.33521473,0.61212003,-1.6698904,0.3036669,0.33203304,-0.92875665,0.16481864,0.38071948,-1.3547393,0.17011379,0.51863414,-1.601322,0.11635311,0.6435884,-1.804751,0.0655318,0.25305507,-0.9273731,-0.004726187,0.3074842,-1.3768332,-0.04918005,0.43741637,-1.5933818,-0.11211523,0.5590398,-1.7747589,-0.16001649,0.16455418,-0.87775636,-0.16598679,0.22242564,-1.2479984,-0.2437635,0.33718473,-1.4330862,-0.30039123,0.458438,-1.5833877,-0.34483504,0.0,0.0,0.0,-0.38660777,0.012187391,-0.023897199,-0.6449565,-0.10719087,-0.07327247,-0.85223615,-0.16532618,-0.13930511,-1.0251496,-0.19534041,-0.21878785,-0.6314934,-0.8041263,-0.031351794,-0.9270081,-0.9425946,-0.12040141,-1.1246778,-0.971371,-0.209126,-1.2844001,-0.97816193,-0.27084887,-0.5360851,-0.84009814,-0.08275161,-0.9471803,-0.63818747,-0.17617446,-1.0849221,-0.3490505,-0.24644919,-1.1265006,-0.15085298,-0.2879013,-0.4408824,-0.7572673,-0.13940305,-0.8351677,-0.48585388,-0.24403143,-0.8668425,-0.16237575,-0.26226047,-0.81950384,0.03367888,-0.25780305,-0.3599045,-0.6014107,-0.20002048,-0.6717503,-0.39555928,-0.28660074,-0.6934819,-0.1497507,-0.27831632,-0.63738596,0.014608757,-0.25302488,A
0.0,0.0,0.0,0.31744587,-0.08799372,0.15568548,0.52685684,-0.39523852,0.2520912,0.62651604,-0.5757623,0.29729012,0.6876279,-0.7097692,0.32929984,0.4006961,-0.9111422,0.26408422,0.4190319,-1.278418,0.28139102,0.5104451,-1.5108025,0.2734434,0.60297537,-1.6831733,0.2495627,0.34314722,-0.93230325,0.11428277,0.380542,-1.3586167,0.111079685,0.5146743,-1.6282235,0.07072485,0.62699014,-1.8514583,0.03438615,0.2638649,-0.9172987,-0.043905728,0.3017912,-1.3695697,-0.09596324,0.42233512,-1.612858,-0.14061283,0.5336332,-1.8166636,-0.17090136,0.16632152,-0.8547974,-0.19481495,0.22322588,-1.219216,-0.27989325,0.33765534,-1.4158449,-0.32691106,0.45640936,-1.5779663,-0.35909367,0.0,0.0,0.0,-0.3914188,0.0047055855,-0.0319627,-0.6484143,-0.1115788,-0.08611362,-0.849957,-0.16927885,-0.15699746,-1.0171218,-0.20368817,-0.24141225,-0.63184005,-0.7995324,-0.037160438,-0.9247397,-0.9364682,-0.13023843,-1.1220266,-0.9631714,-0.21949151,-1.2797577,-0.9661568,-0.28069112,-0.5354313,-0.8401885,-0.08600298,-0.9379616,-0.6400244,-0.18733951,-1.0728097,-0.35272276,-0.25927,-1.1122664,-0.15192674,-0.29994532,-0.43696555,-0.7614251,-0.14124264,-0.8238519,-0.48613614,-0.25294948,-0.8520036,-0.16589092,-0.27213314,-0.80166745,0.02977469,-0.26614296,-0.35181582,-0.60958344,-0.2010677,-0.6611314,-0.3979261,-0.2912221,-0.67742246,-0.15713921,-0.2843111,-0.6151692,0.0015118992,-0.259134,A
